ticker,time,close,open,high,low,volume
VNE,13/12/2022,9.21,9.15,9.31,9.1,547100.0
VNE,12/12/2022,9.22,9.28,9.29,9.08,377400.0
VNE,09/12/2022,9.24,9.12,9.3,9.05,564100.0
VNE,08/12/2022,9.12,9.08,9.23,9.0,371700.0
VNE,07/12/2022,9.11,9.24,9.42,8.97,381900.0
VNE,06/12/2022,9.24,9.62,9.9,9.2,717100.0
VNE,05/12/2022,9.73,10.0,10.0,9.65,294100.0
VNE,02/12/2022,9.9,9.9,9.9,9.61,269800.0
VNE,01/12/2022,9.8,9.28,9.92,9.2,755500.0
VNE,30/11/2022,9.28,9.39,9.39,9.14,406700.0
VNE,29/11/2022,9.36,9.48,9.48,9.22,474400.0
VNE,28/11/2022,9.45,9.3,9.59,9.2,479000.0
VNE,25/11/2022,9.24,9.12,9.25,9.12,217600.0
VNE,24/11/2022,9.19,9.02,9.2,9.02,148900.0
VNE,23/11/2022,9.19,9.28,9.28,9.09,213200.0
VNE,22/11/2022,9.2,9.16,9.4,9.15,203200.0
VNE,21/11/2022,9.15,9.24,9.34,9.1,138400.0
VNE,18/11/2022,9.24,8.82,9.43,8.82,264300.0
VNE,17/11/2022,9.23,9.3,9.3,9.11,425600.0
VNE,16/11/2022,9.3,9.0,9.3,8.65,466900.0
VNE,15/11/2022,9.17,9.18,9.19,8.56,400400.0
VNE,14/11/2022,9.2,8.71,9.24,8.71,319300.0
VNE,11/11/2022,9.29,9.3,9.46,9.2,221300.0
VNE,10/11/2022,9.3,9.45,9.48,9.14,491100.0
VNE,09/11/2022,9.4,9.63,9.68,9.19,247800.0
VNE,08/11/2022,9.2,8.45,9.2,8.41,451600.0
VNE,07/11/2022,8.9,8.99,8.99,8.64,300900.0
VNE,04/11/2022,9.0,8.86,9.0,8.7,383700.0
VNE,03/11/2022,9.04,9.07,9.07,8.86,183200.0
VNE,02/11/2022,9.05,9.1,9.1,8.92,142600.0
VNE,01/11/2022,9.1,9.28,9.28,8.86,101100.0
VNE,31/10/2022,9.03,9.0,9.03,8.8,89400.0
VNE,28/10/2022,9.15,9.3,9.3,9.1,80200.0
VNE,27/10/2022,9.15,8.55,9.15,8.55,235700.0
VNE,26/10/2022,9.05,9.09,9.1,8.83,178000.0
VNE,25/10/2022,9.1,9.0,9.1,8.78,280900.0
VNE,24/10/2022,9.1,8.98,9.1,8.5,739800.0
VNE,21/10/2022,9.0,9.15,9.2,8.6,282400.0
VNE,20/10/2022,9.15,9.25,9.28,9.15,110700.0
VNE,19/10/2022,9.28,9.29,9.29,9.2,157900.0
