ticker,time,close,open,high,low,volume
VIB,13/12/2022,20.75,20.25,20.75,20.0,5059500.0
VIB,12/12/2022,20.35,21.0,21.3,20.3,4647500.0
VIB,09/12/2022,20.95,21.0,21.15,20.6,5121700.0
VIB,08/12/2022,20.95,20.9,21.8,20.6,6289200.0
VIB,07/12/2022,20.45,20.4,20.7,20.0,4991800.0
VIB,06/12/2022,20.4,21.95,22.0,20.4,11257500.0
VIB,05/12/2022,21.9,22.0,22.25,21.45,8779600.0
VIB,02/12/2022,21.4,19.85,21.4,19.8,8818700.0
VIB,01/12/2022,20.0,20.85,20.95,19.95,10026300.0
VIB,30/11/2022,20.25,19.15,20.25,18.95,11706100.0
VIB,29/11/2022,18.95,19.15,19.3,18.6,5562500.0
VIB,28/11/2022,19.05,18.75,19.3,18.4,6155300.0
VIB,25/11/2022,18.3,18.2,18.3,18.0,3619400.0
VIB,24/11/2022,17.85,17.8,17.95,17.5,2192100.0
VIB,23/11/2022,17.9,18.4,18.4,17.9,1916000.0
VIB,22/11/2022,18.2,18.35,19.0,18.15,4852700.0
VIB,21/11/2022,18.5,18.5,18.9,18.35,2445900.0
VIB,18/11/2022,18.4,18.45,18.6,17.9,2573700.0
VIB,17/11/2022,18.45,18.4,18.8,18.2,3260100.0
VIB,16/11/2022,18.0,16.25,18.15,16.25,3635900.0
VIB,15/11/2022,17.0,17.0,17.2,16.2,4764800.0
VIB,14/11/2022,17.4,17.05,17.65,16.4,4054300.0
VIB,11/11/2022,17.5,17.8,17.95,16.5,4915500.0
VIB,10/11/2022,17.5,18.0,18.2,17.15,5652800.0
VIB,09/11/2022,18.4,18.35,18.9,18.1,2685200.0
VIB,08/11/2022,18.55,18.0,18.65,17.95,3446300.0
VIB,07/11/2022,18.45,19.25,19.7,18.4,5978300.0
VIB,04/11/2022,19.75,20.0,20.3,18.9,6769700.0
VIB,03/11/2022,20.3,20.55,20.8,20.25,4351300.0
VIB,02/11/2022,20.7,20.15,21.25,20.1,9637500.0
VIB,01/11/2022,20.15,19.9,20.45,19.8,5002300.0
VIB,31/10/2022,19.6,19.85,19.9,19.1,1229300.0
VIB,28/10/2022,19.7,20.1,20.55,19.7,2309700.0
VIB,27/10/2022,19.9,19.2,19.9,18.65,2130200.0
VIB,26/10/2022,19.05,19.35,19.5,18.65,787200.0
VIB,25/10/2022,19.25,19.0,19.8,18.0,1845500.0
VIB,24/10/2022,18.85,19.25,19.25,17.9,1919100.0
VIB,21/10/2022,19.2,20.1,20.1,18.65,2151700.0
VIB,20/10/2022,19.95,20.5,20.5,19.9,1552600.0
VIB,19/10/2022,20.4,20.0,20.6,19.9,1568000.0
