ticker,time,close,open,high,low,volume
VDP,13/12/2022,37.7,37.7,37.7,37.7,0.0
VDP,12/12/2022,37.7,37.7,37.7,37.7,0.0
VDP,09/12/2022,37.7,37.7,37.7,37.7,0.0
VDP,08/12/2022,37.7,37.7,37.7,37.7,0.0
VDP,07/12/2022,37.7,37.7,37.7,37.7,1300.0
VDP,06/12/2022,36.8,36.8,36.8,36.8,300.0
VDP,05/12/2022,36.5,36.5,36.5,35.85,5100.0
VDP,02/12/2022,38.5,38.5,38.5,38.5,0.0
VDP,01/12/2022,38.5,38.5,38.5,38.5,0.0
VDP,30/11/2022,38.5,38.5,38.5,38.5,0.0
VDP,29/11/2022,38.5,38.5,38.5,38.5,200.0
VDP,28/11/2022,36.0,36.0,36.0,36.0,100.0
VDP,25/11/2022,36.0,36.0,36.0,36.0,1000.0
VDP,23/11/2022,38.7,38.7,38.7,38.7,0.0
VDP,22/11/2022,38.7,38.7,38.7,38.7,0.0
VDP,21/11/2022,38.7,38.7,38.7,38.7,0.0
VDP,18/11/2022,38.7,38.7,38.7,38.7,0.0
VDP,17/11/2022,38.7,38.7,38.7,38.7,500.0
VDP,16/11/2022,36.4,36.4,36.4,36.4,0.0
VDP,15/11/2022,36.4,33.9,36.4,33.9,700.0
VDP,14/11/2022,36.4,36.4,36.4,36.4,4000.0
VDP,11/11/2022,36.2,36.2,36.2,36.2,200.0
VDP,10/11/2022,36.2,36.2,36.2,36.2,200.0
VDP,09/11/2022,36.25,36.25,36.25,36.25,2600.0
VDP,08/11/2022,36.25,34.0,36.3,34.0,3700.0
VDP,07/11/2022,34.0,35.0,35.0,34.0,600.0
VDP,04/11/2022,36.4,36.4,36.4,36.4,600.0
VDP,03/11/2022,35.5,35.5,35.5,35.5,100.0
VDP,02/11/2022,33.5,36.0,37.3,33.5,1700.0
VDP,01/11/2022,35.5,35.0,35.5,35.0,2100.0
VDP,31/10/2022,35.0,35.0,35.0,35.0,200.0
VDP,28/10/2022,35.0,34.2,35.0,34.2,2200.0
VDP,27/10/2022,34.2,32.0,34.2,32.0,2100.0
VDP,26/10/2022,32.0,32.0,32.0,32.0,500.0
VDP,25/10/2022,33.4,31.5,33.4,31.5,4500.0
VDP,24/10/2022,33.25,30.0,33.25,28.95,10800.0
VDP,21/10/2022,31.1,32.05,32.05,31.1,2200.0
VDP,20/10/2022,32.0,32.1,32.1,32.0,3000.0
VDP,19/10/2022,33.7,33.7,33.7,33.7,0.0
VDP,18/10/2022,33.7,33.7,33.7,33.7,0.0
